"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,2.22344840951548e-11,0
1983,2.22344840951548e-11,0
1984,2.22344840951548e-11,0
1985,5.11707843756489e-11,1
1986,2.79153107871474e-10,5
1987,3.19277913135574e-10,6
1988,3.60866368037671e-10,7
1989,4.11804011030137e-10,8
1990,4.11804011030137e-10,9
1991,4.38081084801002e-10,9
1992,4.53681206689728e-10,10
1993,2.32140242048936e-10,5
1994,2.11524826424344e-10,5
1995,1.82710634320595e-10,4
1996,1.34746666205895e-10,3
1997,1.98024442082152e-10,4
1998,3.21969845625983e-10,7
1999,5.0520965783856e-10,11
2000,6.07809307349002e-10,15
2001,6.13653567940345e-10,15
2002,6.11616412773567e-10,16
2003,6.89571001985919e-10,19
2004,6.76758686293403e-10,19
2005,5.46410582950653e-10,14
2006,3.59806926812446e-10,10
2007,2.93703207092179e-10,8
2008,3.05387113414784e-10,9
2009,3.15393402862606e-10,9
2010,2.36794032794561e-10,6
2011,6.5056829467209e-10,17
2012,7.58850503268516e-10,26
2013,7.81890197428961e-10,27
2014,7.59735907121925e-10,23
2015,7.22698350568469e-10,19
2016,7.33247379480773e-10,19
2017,8.26798001590801e-10,23
2018,3.42221991023184e-10,9
2019,2.03503469284327e-10,5
